customer_email,customer_name,city,segment
budi@example.com,Budi Santoso,Jakarta,retail
siti@example.com,Siti Rahayu,Bandung,retail
agus@example.com,Agus Wijaya,Surabaya,grosir
rina@example.com,Rina Kartika,Jakarta,retail
doni@example.com,Doni Pratama,Medan,retail
maya@example.com,Maya Lestari,Jakarta,grosir
eko@example.com,Eko Nugroho,Semarang,retail
lina@example.com,Lina Marlina,Bandung,retail
wati@example.com,Wati Suryani,Yogyakarta,grosir
fajar@example.com,Fajar Ramadhan,Jakarta,retail
tono@example.com,Tono Hartono,Bekasi,retail
